Date,Price,Open,High,Low,Vol.,Change %
4-Jan-16,36.76,37.6,38.39,36.33,431.99K,-0.76%
5-Jan-16,35.97,36.9,37.1,35.74,410.13K,-2.15%
6-Jan-16,33.97,36.18,36.39,33.77,563.81K,-5.56%
7-Jan-16,33.27,34.09,34.26,32.1,617.41K,-2.06%
8-Jan-16,33.16,33.3,34.34,32.64,596.50K,-0.33%
11-Jan-16,31.41,32.94,33.2,30.88,648.64K,-5.28%
12-Jan-16,30.44,31.11,32.21,29.93,627.22K,-3.09%
13-Jan-16,30.48,30.54,31.71,30.1,637.90K,0.13%
14-Jan-16,31.2,30.6,31.77,30.28,537.91K,2.36%
15-Jan-16,29.42,31.18,31.18,29.13,329.09K,-5.71%
17-Jan-16,29.75,30.68,30.68,29.36,-,1.10%
18-Jan-16,30.02,29.76,30.88,29.67,-,0.94%
19-Jan-16,28.46,29.2,30.21,28.21,188.03K,-5.21%
20-Jan-16,26.55,28.33,28.58,26.19,32.11K,-6.71%
21-Jan-16,29.53,28.35,30.25,27.87,694.04K,11.22%
22-Jan-16,32.19,29.84,32.35,29.53,636.57K,9.01%
25-Jan-16,30.34,32.05,32.74,29.68,606.89K,-5.75%
26-Jan-16,31.45,29.81,32.41,29.25,642.43K,3.66%
27-Jan-16,32.3,30.55,32.84,30.14,738.55K,2.70%
28-Jan-16,33.22,32.19,34.82,31.74,833.38K,2.85%
29-Jan-16,33.62,33.7,34.4,32.65,618.11K,1.20%
1-Feb-16,31.62,33.83,34.18,31.29,595.61K,-5.95%
2-Feb-16,29.88,31.37,31.53,29.57,602.56K,-5.50%
3-Feb-16,32.28,29.75,32.75,29.4,811.70K,8.03%
4-Feb-16,31.72,32.71,33.6,31.53,696.72K,-1.73%
5-Feb-16,30.89,31.64,32.45,30.63,616.53K,-2.62%
8-Feb-16,29.69,30.97,31.38,29.57,603.65K,-3.88%
9-Feb-16,27.94,30.17,30.61,27.74,738.22K,-5.89%
10-Feb-16,27.45,28.36,29.22,27.24,781.28K,-1.75%
11-Feb-16,26.21,27.34,27.48,26.05,795.97K,-4.52%
12-Feb-16,29.44,27.3,29.66,26.95,675.16K,12.32%
14-Feb-16,29.08,29.06,29.18,28.97,-,-1.24%
15-Feb-16,30.6,29.08,30.69,28.97,-,5.26%
16-Feb-16,29.04,29.08,31.53,28.7,651.96K,-5.11%
17-Feb-16,30.66,29.14,31.49,28.73,578.64K,5.58%
18-Feb-16,30.77,31.35,31.98,30.27,225.50K,0.36%
19-Feb-16,29.64,30.6,30.73,29.05,103.20K,-3.67%
22-Feb-16,31.48,29.72,32.05,29.48,26.32K,6.21%
23-Feb-16,31.87,33.34,33.53,31.22,539.38K,1.24%
24-Feb-16,32.15,31.28,32.4,30.56,652.25K,0.88%
25-Feb-16,33.07,32.19,33.49,31.07,611.87K,2.86%
26-Feb-16,32.78,33.04,34.69,32.64,646.29K,-0.88%
29-Feb-16,33.75,32.72,33.98,32.32,512.47K,2.96%
1-Mar-16,34.4,33.9,34.76,33.37,566.23K,1.93%
2-Mar-16,34.66,33.89,35.17,33.55,597.83K,0.76%
3-Mar-16,34.57,34.73,35.32,34.19,512.96K,-0.26%
4-Mar-16,35.92,34.66,36.34,34.4,578.29K,3.91%
7-Mar-16,37.9,36.2,38.11,36.09,709.87K,5.51%
8-Mar-16,36.5,37.94,38.39,36.12,706.93K,-3.69%
9-Mar-16,38.29,36.36,38.51,36.24,740.63K,4.90%
10-Mar-16,37.84,38.17,38.48,37.21,701.44K,-1.18%
11-Mar-16,38.5,37.99,39.02,37.92,564.79K,1.74%
14-Mar-16,37.18,38.17,38.77,36.68,489.94K,-3.43%
15-Mar-16,36.34,37.37,37.4,35.96,446.10K,-2.26%
16-Mar-16,38.46,36.74,38.63,36.61,494.17K,5.83%
17-Mar-16,40.2,38.59,40.36,38.47,298.01K,4.52%
18-Mar-16,39.44,40.25,41.2,39.15,130.15K,-1.89%
21-Mar-16,39.91,39.06,40.3,38.61,31.92K,1.19%
22-Mar-16,41.45,41.59,41.9,40.77,463.69K,3.86%
23-Mar-16,39.79,41.19,41.34,39.67,492.00K,-4.00%
24-Mar-16,39.46,39.73,39.77,38.33,495.17K,-0.83%
28-Mar-16,39.39,39.55,40.14,38.86,299.78K,-0.18%
29-Mar-16,38.28,39.32,39.48,37.91,488.03K,-2.82%
30-Mar-16,38.32,38.52,39.85,38.14,542.47K,0.10%
31-Mar-16,38.34,38.3,39.04,37.57,532.15K,0.05%
1-Apr-16,36.79,38.14,38.56,36.63,547.19K,-4.04%
4-Apr-16,35.7,36.61,37.21,35.46,549.48K,-2.96%
5-Apr-16,35.89,35.5,36.58,35.24,485.54K,0.53%
6-Apr-16,37.75,36.52,37.9,36.43,751.05K,5.18%
7-Apr-16,37.26,37.76,38.3,36.69,626.75K,-1.30%
8-Apr-16,39.72,37.52,39.84,37.45,817.23K,6.60%
11-Apr-16,40.36,39.72,40.75,39.25,679.35K,1.61%
12-Apr-16,42.17,40.35,42.25,40.09,796.84K,4.48%
13-Apr-16,41.76,41.63,42.42,41.24,730.44K,-0.97%
14-Apr-16,41.5,41.54,42.16,40.84,488.61K,-0.62%
15-Apr-16,40.36,41.43,41.73,39.98,520.15K,-2.75%
18-Apr-16,39.78,38.75,40.24,37.61,342.46K,-1.44%
19-Apr-16,41.08,40.04,41.53,39.58,101.73K,3.27%
20-Apr-16,42.63,40.8,42.91,39.85,30.09K,3.77%
21-Apr-16,43.18,43.97,44.49,43.05,671.10K,1.29%
22-Apr-16,43.73,43.42,44.45,43.11,575.11K,1.27%
25-Apr-16,42.64,43.75,44.04,42.58,606.38K,-2.49%
26-Apr-16,44.04,42.96,44.83,42.5,564.39K,3.28%
27-Apr-16,45.33,44.64,45.62,43.77,648.03K,2.93%
28-Apr-16,46.03,45.3,46.14,44.94,487.41K,1.54%
29-Apr-16,45.92,45.9,46.78,45.24,598.44K,-0.24%
2-May-16,44.78,45.9,46.15,44.54,464.03K,-2.48%
3-May-16,43.65,44.92,45.35,43.32,625.55K,-2.52%
4-May-16,43.78,43.85,44.88,43.22,711.13K,0.30%
5-May-16,44.32,44.04,46.07,43.96,746.16K,1.23%
6-May-16,44.66,44.52,45.34,43.54,695.31K,0.77%
9-May-16,43.44,45,45.94,43.24,767.57K,-2.73%
10-May-16,44.66,43.25,44.79,43.03,709.42K,2.81%
11-May-16,46.23,44.6,46.36,43.96,869.96K,3.52%
12-May-16,46.7,46,47.02,45.61,715.10K,1.02%
13-May-16,46.21,46.41,46.49,45.75,519.36K,-1.05%
16-May-16,47.72,46.28,47.98,46.15,550.86K,3.27%
17-May-16,48.31,47.9,48.76,47.53,470.44K,1.24%
18-May-16,48.19,48.53,48.95,47.75,343.18K,-0.25%
19-May-16,48.16,47.87,48.28,46.73,108.82K,-0.06%
20-May-16,47.75,48.2,48.79,47.44,28.52K,-0.85%
23-May-16,48.08,48.46,48.5,47.4,475.45K,0.69%
24-May-16,48.62,48.08,49.27,47.64,475.97K,1.12%
25-May-16,49.56,49.09,49.75,48.65,550.50K,1.93%
26-May-16,49.48,49.7,50.21,49.22,488.47K,-0.16%
27-May-16,49.33,49.31,49.6,48.69,406.39K,-0.30%
29-May-16,49.58,49.54,49.71,49.54,-,0.51%
30-May-16,49.51,49.56,49.75,49.08,-,-0.14%
31-May-16,49.1,49.54,50.1,48.81,476.99K,-0.83%
1-Jun-16,49.01,48.82,49.25,47.75,568.84K,-0.18%
2-Jun-16,49.17,48.9,49.47,47.97,564.85K,0.33%
3-Jun-16,48.62,49.04,49.41,48.33,481.03K,-1.12%
6-Jun-16,49.69,48.88,49.9,48.71,450.47K,2.20%
7-Jun-16,50.36,49.71,50.53,49.44,542.25K,1.35%
8-Jun-16,51.23,50.41,51.62,50.32,656.42K,1.73%
9-Jun-16,50.56,51.45,51.67,50.23,560.72K,-1.31%
10-Jun-16,49.07,50.47,50.73,48.8,596.12K,-2.95%
13-Jun-16,48.88,48.85,49.28,48.16,506.04K,-0.39%
14-Jun-16,48.49,48.52,48.69,47.84,456.14K,-0.80%
15-Jun-16,48.01,47.9,48.72,47.28,527.87K,-0.99%
16-Jun-16,46.21,47.45,47.75,45.91,507.91K,-3.75%
17-Jun-16,47.98,45.99,48.29,45.83,226.65K,3.83%
20-Jun-16,49.37,48.29,49.42,48.14,98.29K,2.90%
21-Jun-16,48.85,49.14,49.32,48.16,30.11K,-1.05%
22-Jun-16,49.13,50.22,50.54,48.4,569.94K,0.57%
23-Jun-16,50.11,49.08,50.23,49.08,401.89K,1.99%
24-Jun-16,47.64,50.3,50.45,46.7,649.45K,-4.93%
27-Jun-16,46.33,47.81,47.96,45.83,504.61K,-2.75%
28-Jun-16,47.85,46.59,48.18,46.54,498.85K,3.28%
29-Jun-16,49.88,48.06,50,47.98,511.48K,4.24%
30-Jun-16,48.33,49.55,49.62,48.17,508.74K,-3.11%
1-Jul-16,48.99,48.38,49.3,47.9,405.19K,1.37%
3-Jul-16,49.01,49.14,49.22,48.94,-,0.04%
4-Jul-16,48.65,49.01,49.35,48.54,-,-0.73%
5-Jul-16,46.6,49.11,49.35,46.33,609.19K,-4.21%
6-Jul-16,47.43,46.83,47.95,45.92,607.66K,1.78%
7-Jul-16,45.14,47.88,48.25,44.87,710.89K,-4.83%
8-Jul-16,45.41,45.19,45.97,44.77,583.08K,0.60%
11-Jul-16,44.76,45.07,45.77,44.42,533.66K,-1.43%
12-Jul-16,46.8,44.58,46.93,44.51,658.26K,4.56%
13-Jul-16,44.75,46.58,46.71,44.56,686.25K,-4.38%
14-Jul-16,45.68,45.14,45.8,44.95,573.76K,2.08%
15-Jul-16,45.95,45.52,46.33,45.05,430.26K,0.59%
18-Jul-16,45.24,46.12,46.14,44.86,211.39K,-1.55%
19-Jul-16,44.65,45.23,45.67,44.53,128.13K,-1.30%
20-Jul-16,44.94,44.59,45.25,43.69,29.39K,0.65%
21-Jul-16,44.75,45.65,46.09,44.52,432.97K,-0.42%
22-Jul-16,44.19,44.6,44.97,43.74,428.41K,-1.25%
25-Jul-16,43.13,44.2,44.37,42.97,389.84K,-2.40%
26-Jul-16,42.92,43.07,43.39,42.36,461.32K,-0.49%
27-Jul-16,41.92,42.66,43.2,41.68,537.39K,-2.33%
28-Jul-16,41.14,41.93,42.22,41.04,447.91K,-1.86%
29-Jul-16,41.6,41.12,41.67,40.57,478.76K,1.12%
1-Aug-16,40.06,41.35,41.88,39.82,533.02K,-3.70%
2-Aug-16,39.51,40.08,40.91,39.26,534.51K,-1.37%
3-Aug-16,40.83,39.7,41.2,39.19,655.19K,3.34%
4-Aug-16,41.93,41.16,42.08,40.43,598.84K,2.69%
5-Aug-16,41.8,41.84,42.1,41.06,550.19K,-0.31%
8-Aug-16,43.02,41.99,43.39,41.81,562.53K,2.92%
9-Aug-16,42.77,42.83,43.52,42.47,624.70K,-0.58%
10-Aug-16,41.71,42.74,43.39,41.42,676.15K,-2.48%
11-Aug-16,43.49,41.48,43.86,41.1,682.24K,4.27%
12-Aug-16,44.49,43.46,44.78,43.31,536.08K,2.30%
15-Aug-16,45.74,44.74,45.93,44.38,522.53K,2.81%
16-Aug-16,46.58,45.59,46.73,45.34,550.44K,1.84%
17-Aug-16,46.79,46.37,46.95,45.84,563.35K,0.45%
18-Aug-16,48.22,46.9,48.38,46.63,229.28K,3.06%
19-Aug-16,48.52,48.33,48.75,47.93,162.44K,0.62%
22-Aug-16,47.05,48.4,48.4,46.75,36.53K,-3.03%
23-Aug-16,48.1,47.39,48.32,46.59,623.90K,2.23%
24-Aug-16,46.77,47.59,47.74,46.45,603.50K,-2.77%
25-Aug-16,47.33,46.8,47.46,46.42,458.82K,1.20%
26-Aug-16,47.64,47.37,48.46,46.94,558.34K,0.65%
29-Aug-16,46.98,47.22,47.28,46.62,309.25K,-1.39%
30-Aug-16,46.35,46.98,47.49,46.21,464.45K,-1.34%
31-Aug-16,44.7,46.24,46.41,44.51,549.01K,-3.56%
1-Sep-16,43.16,44.85,45.08,43,605.00K,-3.45%
2-Sep-16,44.44,43.55,44.67,43.16,576.92K,2.97%
4-Sep-16,44.11,44.15,44.38,44.1,-,-0.74%
5-Sep-16,45.07,44.12,46.53,44.07,-,2.18%
6-Sep-16,44.83,44.15,46.53,43.84,932.15K,-0.53%
7-Sep-16,45.5,44.85,46.17,44.55,572.88K,1.49%
8-Sep-16,47.62,46.12,47.75,45.77,761.94K,4.66%
9-Sep-16,45.88,47.36,47.36,45.56,688.19K,-3.65%
12-Sep-16,46.29,45.57,46.51,44.72,745.02K,0.89%
13-Sep-16,44.9,46.06,46.13,44.77,657.78K,-3.00%
14-Sep-16,43.58,45,45.33,43.42,705.86K,-2.94%
15-Sep-16,43.91,43.7,44.34,43.26,537.19K,0.76%
16-Sep-16,43.03,43.71,43.75,42.74,231.19K,-2.00%
19-Sep-16,43.3,43.18,44.15,43.12,129.86K,0.63%
20-Sep-16,43.44,43.13,44.05,42.55,37.38K,0.32%
21-Sep-16,45.34,44.5,45.65,44.5,585.99K,4.37%
22-Sep-16,46.32,45.62,46.52,45.52,521.68K,2.16%
23-Sep-16,44.48,46.07,46.55,44.22,718.40K,-3.97%
26-Sep-16,45.93,44.62,46.2,44.43,527.12K,3.26%
27-Sep-16,44.67,45.62,45.96,44.19,630.76K,-2.74%
28-Sep-16,47.05,44.96,47.45,44.35,1.01M,5.33%
29-Sep-16,47.83,47.2,48.32,46.6,702.65K,1.66%
30-Sep-16,48.24,47.76,48.3,47.04,496.52K,0.86%
3-Oct-16,48.81,48.04,49.02,47.78,458.02K,1.18%
4-Oct-16,48.69,48.65,49.26,48.26,513.71K,-0.25%
5-Oct-16,49.83,49.26,49.97,49.1,520.07K,2.34%
6-Oct-16,50.44,49.65,50.63,49.33,547.92K,1.22%
7-Oct-16,49.81,50.59,50.74,49.4,618.81K,-1.25%
10-Oct-16,51.35,49.57,51.6,49.15,686.07K,3.09%
11-Oct-16,50.79,51.1,51.54,50.39,765.61K,-1.09%
12-Oct-16,50.18,50.84,51.17,49.89,533.88K,-1.20%
13-Oct-16,50.44,50,50.59,49.36,740.68K,0.52%
14-Oct-16,50.35,50.58,51.14,49.9,519.43K,-0.18%
17-Oct-16,49.94,50.23,50.58,49.47,418.72K,-0.81%
18-Oct-16,50.29,50.04,50.78,49.76,192.80K,0.70%
19-Oct-16,51.6,50.77,51.93,50.69,132.43K,2.60%
20-Oct-16,50.43,51.4,51.58,50.25,24.86K,-2.27%
21-Oct-16,50.85,50.66,51.02,50.21,551.30K,0.83%
24-Oct-16,50.52,50.85,50.98,49.62,623.40K,-0.65%
25-Oct-16,49.96,50.49,50.93,49.27,553.78K,-1.11%
26-Oct-16,49.18,49.31,50.1,48.87,679.32K,-1.56%
27-Oct-16,49.72,49.22,50.06,49,543.17K,1.10%
28-Oct-16,48.7,49.61,49.81,48.42,550.08K,-2.05%
31-Oct-16,46.86,48.25,48.74,46.63,649.24K,-3.78%
1-Nov-16,46.67,46.77,47.35,46.2,834.99K,-0.41%
2-Nov-16,45.34,46.32,46.47,44.96,674.32K,-2.85%
3-Nov-16,44.66,45.48,45.9,44.37,540.44K,-1.50%
4-Nov-16,44.07,44.63,44.87,43.57,736.69K,-1.32%
7-Nov-16,44.89,44.45,45.01,44.11,605.73K,1.86%
8-Nov-16,44.98,44.97,45.39,44.41,669.64K,0.20%
9-Nov-16,45.27,44.82,45.95,43.07,946.51K,0.64%
10-Nov-16,44.66,45.31,45.64,44.25,686.34K,-1.35%
11-Nov-16,43.41,44.35,44.63,43.03,631.14K,-2.80%
14-Nov-16,43.32,43.2,43.81,42.2,704.77K,-0.21%
15-Nov-16,45.81,43.76,46.09,43.55,706.18K,5.75%
16-Nov-16,45.57,45.77,46.41,45.03,658.17K,-0.52%
17-Nov-16,45.42,45.37,46.58,44.88,284.87K,-0.33%
18-Nov-16,45.69,44.93,45.77,44.55,155.65K,0.59%
21-Nov-16,47.49,45.83,47.8,45.77,34.92K,3.94%
22-Nov-16,48.03,48.37,49.2,47.17,826.21K,1.14%
23-Nov-16,47.96,47.94,48.43,47.4,556.86K,-0.15%
24-Nov-16,47.98,48.03,48.26,47.8,-,0.04%
25-Nov-16,46.06,47.97,48.26,45.88,465.98K,-4.00%
28-Nov-16,47.08,45.43,47.65,45.14,734.38K,2.21%
29-Nov-16,45.23,46.88,46.98,44.82,732.82K,-3.93%
30-Nov-16,49.44,45.24,49.9,45.22,1.31M,9.31%
1-Dec-16,51.06,49.07,51.8,48.98,974.81K,3.28%
2-Dec-16,51.68,51.01,51.73,50.18,667.10K,1.21%
5-Dec-16,51.79,51.46,52.42,50.93,600.78K,0.21%
6-Dec-16,50.93,50.97,51.6,50.28,642.75K,-1.66%
7-Dec-16,49.77,50.93,51.2,49.72,816.88K,-2.28%
8-Dec-16,50.84,49.88,50.98,49.61,780.06K,2.15%
9-Dec-16,51.5,50.92,51.66,50.86,652.04K,1.30%
12-Dec-16,52.83,52.58,54.51,52.18,847.03K,2.58%
13-Dec-16,52.98,52.51,53.41,52.35,638.40K,0.28%
14-Dec-16,51.04,52.45,52.78,50.67,677.96K,-3.66%
15-Dec-16,50.9,50.79,51.48,49.95,551.76K,-0.27%
16-Dec-16,51.9,51.1,52.08,50.5,252.57K,1.96%
19-Dec-16,52.12,52.15,52.52,51.51,129.99K,0.42%
20-Dec-16,52.23,52.11,52.7,51.85,26.17K,0.21%
21-Dec-16,52.49,53.56,53.79,52.32,471.99K,0.50%
22-Dec-16,52.95,52.52,53.19,52.08,393.49K,0.88%
23-Dec-16,53.02,52.68,53.28,52.26,285.17K,0.13%
26-Dec-16,53.19,53.33,53.34,53.14,-,0.32%
27-Dec-16,53.9,53.29,54.1,53.03,277.31K,1.33%
28-Dec-16,54.06,53.93,54.37,53.56,322.54K,0.30%
29-Dec-16,53.77,53.66,54.21,53.46,360.19K,-0.54%
30-Dec-16,53.72,53.87,54.09,53.41,271.09K,-0.09%
2-Jan-17,54.03,54.09,54.18,54.01,-,0.58%
3-Jan-17,52.33,54.2,55.24,52.11,727.79K,-3.15%
4-Jan-17,53.26,52.49,53.43,52.15,512.64K,1.78%
5-Jan-17,53.76,53.39,54.12,52.79,517.36K,0.94%
6-Jan-17,53.99,53.73,54.32,53.32,528.33K,0.43%
9-Jan-17,51.96,53.75,53.83,51.76,564.89K,-3.76%
10-Jan-17,50.82,51.83,52.37,50.71,632.57K,-2.19%
11-Jan-17,52.25,50.81,52.78,50.75,815.85K,2.81%
12-Jan-17,53.01,52.37,53.5,52.12,660.70K,1.45%
13-Jan-17,52.37,53.05,53.17,52.27,477.99K,-1.21%
15-Jan-17,52.45,52.53,52.56,52.39,-,0.15%
16-Jan-17,52.52,52.46,52.72,52.13,-,0.13%
17-Jan-17,52.48,52.55,53.52,52.12,606.02K,-0.08%
18-Jan-17,51.08,52.52,52.79,50.91,236.24K,-2.67%
19-Jan-17,51.37,51.39,51.87,51.02,122.59K,0.57%
20-Jan-17,52.42,51.45,52.9,51.39,-,2.04%
23-Jan-17,52.75,53.33,53.47,52.21,455.33K,0.63%
24-Jan-17,53.18,52.86,53.56,52.67,520.29K,0.82%
25-Jan-17,52.75,52.95,53.47,52.56,589.71K,-0.81%
26-Jan-17,53.78,52.96,54.06,52.79,578.07K,1.95%
27-Jan-17,53.17,53.74,54.08,52.58,495.56K,-1.13%
30-Jan-17,52.63,53.15,53.46,52.41,486.31K,-1.02%
31-Jan-17,52.81,52.6,53.56,52.24,586.68K,0.34%
1-Feb-17,53.88,52.76,53.91,52.64,577.24K,2.03%
2-Feb-17,53.54,53.57,54.34,53.35,492.55K,-0.63%
3-Feb-17,53.83,53.68,54.22,53.4,462.62K,0.54%
6-Feb-17,53.01,53.81,54.13,52.91,425.09K,-1.52%
7-Feb-17,52.17,53.14,53.24,51.63,624.06K,-1.58%
8-Feb-17,52.34,51.64,52.67,51.22,767.38K,0.33%
9-Feb-17,53,52.37,53.21,52.37,610.20K,1.26%
10-Feb-17,53.86,53.15,54.13,52.9,596.45K,1.62%
13-Feb-17,52.93,53.8,53.95,52.77,586.03K,-1.73%
14-Feb-17,53.2,52.91,53.72,52.86,493.02K,0.51%
15-Feb-17,53.11,53,53.51,52.73,463.64K,-0.17%
16-Feb-17,53.36,53.01,53.59,52.68,343.36K,0.47%
17-Feb-17,53.4,53.47,53.52,52.88,195.35K,0.07%
19-Feb-17,53.79,53.86,53.96,53.78,-,0.73%
20-Feb-17,53.97,53.78,54.24,53.73,-,0.33%
21-Feb-17,54.06,53.48,54.68,53.35,44.05K,0.17%
22-Feb-17,53.59,54.26,54.6,53.35,499.48K,-0.87%
23-Feb-17,54.45,53.91,54.94,53.87,529.88K,1.60%
24-Feb-17,53.99,54.33,54.51,53.76,395.26K,-0.84%
27-Feb-17,54.05,54.02,54.61,53.94,394.38K,0.11%
28-Feb-17,54.01,54.04,54.23,53.18,593.91K,-0.07%
1-Mar-17,53.83,53.95,54.44,53.63,491.29K,-0.33%
2-Mar-17,52.61,53.69,53.8,52.54,638.39K,-2.27%
3-Mar-17,53.33,52.58,53.39,52.55,436.36K,1.37%
6-Mar-17,53.2,53.19,53.56,52.76,503.69K,-0.24%
7-Mar-17,53.14,53.17,53.8,52.71,494.68K,-0.11%
8-Mar-17,50.28,52.79,52.92,50.05,963.39K,-5.38%
9-Mar-17,49.28,50.22,50.84,48.59,1.07M,-1.99%
10-Mar-17,48.49,49.61,50.11,48.31,796.96K,-1.60%
13-Mar-17,48.4,48.45,48.68,47.9,601.36K,-0.19%
14-Mar-17,47.72,48.45,48.79,47.09,857.71K,-1.40%
15-Mar-17,48.86,48.76,49.04,48.16,655.79K,2.39%
16-Mar-17,48.75,49.01,49.62,48.45,516.85K,-0.23%
17-Mar-17,48.78,48.79,49.2,48.6,172.34K,0.06%
20-Mar-17,48.22,48.7,48.74,47.84,142.26K,-1.15%
21-Mar-17,47.34,47.93,48.73,47.23,28.08K,-1.82%
22-Mar-17,48.04,48.16,48.32,47.01,680.85K,1.48%
23-Mar-17,47.7,48.15,48.48,47.58,499.88K,-0.71%
24-Mar-17,47.97,47.67,48.2,47.54,421.03K,0.57%
27-Mar-17,47.73,48.12,48.28,47.08,466.18K,-0.50%
28-Mar-17,48.37,47.89,48.74,47.8,502.38K,1.34%
29-Mar-17,49.51,48.47,49.63,48.38,548.62K,2.36%
